org_nummer,name,municipality_name
769631-9958,Bostadsrättsföreningen Skriften i Gävle,Gävle
785000-2895,Bostadsrättsföreningen Örnskär,Gävle
785000-0139,Bostadsrättsföreningen Biet 10 Gävle,Gävle
716413-3618,Riksbyggen Bostadsrättsförening Solvagnen,Gävle
785000-2499,Bostadsrättsföreningen Sörby,Gävle
785000-2267,Bostadsrättsföreningen Skölden,Gävle
716413-6462,HSB Bostadsrättsförening Testebo i Gävle,Gävle
769636-7783,Bostadsrättsföreningen Portalen på Södertull,Gävle
785000-2259,Bostadsrättsföreningen Skruvstycket,Gävle
785000-0782,"Gulle Persson,Bostadsrättsföreningen",Gävle
785000-0196,Bostadsrättsföreningen Kostern,Gävle
716451-1417,Bostadsrättsföreningen Kanaljen i Gävle,Gävle
785000-2333,Bostadsrättsföreningen Stammen,Gävle
785000-1897,Bostadsrättsföreningen Myran Nr 1,Gävle
785000-1129,HSB bostadsrättsförening Belgien i Gävle,Gävle
785000-0626,Bostadsrättsföreningen Fyrbåken nr 2,Gävle
785000-2309,Bostadsrättsföreningen Stadsgården,Gävle
716413-5670,Bostadsrättsföreningen Per Måns,Gävle
785000-3364,HSB Bostadsrättsförening Brynäs i Gävle,Gävle
769626-8734,Bostadsrättsföreningen Concordia i Gefle,Gävle
769633-0302,Bostadsrättsföreningen Lancetten nr 2 i Gävle,Gävle
716458-5692,Riksbyggens Bostadsrättsförening Skogsgläntan,Gävle
785000-0576,Bostadsrättsföreningen Fridhem,Gävle
785000-1061,HSB bostadsrättsförening Tyskland i Gävle,Gävle
769637-9838,Bostadsrättsföreningen Strömsbro Trädgårdar,Gävle
716413-4426,Riksbyggen Bostadsrättsförening Gävlehus nr 21,Gävle
716413-5720,Riksbyggen bostadsrättsförening Gävlehus nr 37,Gävle
769626-0749,Bostadsrättsföreningen Villa Rektorn 1,Gävle
785000-0436,Bostadsrättsföreningen Fallet,Gävle
785000-3265,Bostadsrättsföreningen Persbacka,Gävle
769614-5106,Bostadsrättsföreningen Fridhemsgläntan,Gävle
785000-0147,Bostadsrättsföreningen Biet 11,Gävle
785000-3448,Bostadsrättsföreningen Hackspetten,Gävle
769631-3217,Bostadsrättsföreningen Kollegan 2,Gävle
769638-2071,Bostadsrättsföreningen BoKlok Travbanan,Gävle
769621-0611,Bostadsrättsföreningen Gävle Norr 24:4,Gävle
785000-0071,Bostadsrättsföreningen Agenten nr 16,Gävle
