fastighetsbeteckning,municipality_name,brf_org_nummer
VARVA 7:47,Gävle,785000-3265
ANDERSBERG 2:2,Gävle,769614-5106
OLSBACKA 47:17,Gävle,785000-0147
SÄTRA 38:1,Gävle,785000-3448
NORR 4:2,Gävle,769631-3217
SÄTRA 108:29,Gävle,769638-2071
NORR 24:4,Gävle,769621-0611
BRYNÄS 60:7,Gävle,785000-0071
VÄSTER 20:2,Gävle,716413-4608
BRYNÄS 68:13,Gävle,785000-3323
NORR 20:8,Gävle,716458-6344
VÄSTER 22:9,Gävle,785000-1236
NORRTULL 26:1,Gävle,716413-5373
SÖDER 55:1,Gävle,785000-0378
SÖDERTULL 28:6,Gävle,785000-1855
ALDERHOLMEN 5:10,Gävle,716458-5742
LILLHAGEN 37:1,Gävle,716413-6520
VALLBACKEN 6:2,Gävle,769630-9744
SÄTRA 19:4,Gävle,785000-2127
BRYNÄS 76:1,Gävle,785000-2242
SÖDER 39:12,Gävle,785000-2481
VÄSTER 25:19,Gävle,716413-5423
FREDRIKSSKANS 7:9,Gävle,769636-0077
OLSBACKA 9:21,Gävle,785000-1459
KÄLLÖ 10:1,Gävle,785000-3067
SÖDERTULL 24:9,Gävle,769635-2140
TOLVFORS 2:9,Gävle,716458-6203
VÄSTER 16:4,Gävle,785000-2424
SÖDER 20:4,Gävle,769611-3161
BRYNÄS 7:3,Gävle,769627-1118
BRYNÄS 61:14,Gävle,785000-0097
LILLHAGEN 16:1,Gävle,785000-1962
KASTET 9:2,Gävle,716458-6153
VALLBACKEN 13:3,Gävle,769622-4117
HEMLINGBY 75:1,Gävle,769635-8378
VÄSTER 8:3,Gävle,769629-0084
VÄSTER 9:3,Gävle,785000-0410
SÖRBY 10:12,Gävle,785000-0220
OLSBACKA 48:3,Gävle,769636-7890
SÖDER 45:1,Gävle,769636-3121
VÄSTER 19:4,Gävle,785000-1129
LILLHAGEN 49:1,Gävle,785000-0204
STIGSLUND 32:11,Gävle,769624-4057
VÄSTER 13:25,Gävle,716413-4939
VALLBACKEN 5:8,Gävle,769622-7037
SÖDER 41:6,Gävle,785000-1228
KÄLLÖ 37:23,Gävle,769616-4610
STIGSLUND 42:3,Gävle,785000-0600
SÄTRA 165:1,Gävle,716413-4913
HOLMSUND 9:1,Gävle,769621-7178
SÖDER 43:2,Gävle,769637-9119
HEMLINGBY 75:4,Gävle,769636-0531
SÖDERTULL 26:13,Gävle,785000-1178
OLSBACKA 33:1,Gävle,785000-2499
NORRTULL 23:4,Gävle,769627-6281
VÄSTER 8:4,Gävle,769629-0084
VÄSTER 20:1,Gävle,716413-4608
NORRTULL 19:5,Gävle,769631-1468
FREDRIKSSKANS 7:10,Gävle,769636-0077
NORRSUNDET 15:129,Gävle,769624-3901
FREDRIKSSKANS 17:59,Gävle,769621-6956
OLSBACKA 28:1,Gävle,785000-1889
FORSBACKA 20:9,Gävle,716458-6146
SÖDER 11:7,Gävle,785000-1186
STRÖMSBRO 59:2,Gävle,716413-4905
NORRTULL 18:7,Gävle,785000-2564
FREDRIKSSKANS 7:6,Gävle,769635-7883
NORRTULL 22:7,Gävle,769618-4170
SÖDER 35:5,Gävle,785000-1970
LILLHAGEN 46:1,Gävle,785000-0204
FRIDHEM 23:1,Gävle,785000-2051
SÖDER 34:3,Gävle,785000-1657
BJÖRSJÖ 27:1,Gävle,716413-4251
STIGSLUND 53:1,Gävle,785000-2879
SÖDER 49:5,Gävle,785000-0089
SÖDER 50:5,Gävle,785000-1467
NORRSUNDET 15:56,Gävle,716413-4905
SÖDER 46:1,Gävle,785000-2606
VÄSTER 20:5,Gävle,769621-0397
VÄSTER 19:3,Gävle,785000-1129
VÄSTER 18:6,Gävle,785000-2697
SÖDERTULL 24:4,Gävle,785000-1681
ALDERHOLMEN 38:5,Gävle,716413-6611
BRYNÄS 88:2,Gävle,716458-6211
HEMLINGBY 75:3,Gävle,769636-0531
SÖDER 13:3,Gävle,785000-1137
HÖJERSDAL 24:1,Gävle,785000-2978
SÖDERTULL 8:4,Gävle,716413-4780
NORRLANDET 3:19,Gävle,769638-5397
NORR 19:3,Gävle,769614-0164
NORRTULL 23:2,Gävle,769627-0037
SÖRBY 4:1,Gävle,785000-2507
NORRTULL 31:4,Gävle,716413-4764
SÄTRA 162:1,Gävle,716413-4590
VÄSTER 16:11,Gävle,785000-1095
SÖDERTULL 15:15,Gävle,785000-1251
HEMLINGBY 29:9,Gävle,716413-3774
VALLBACKEN 14:2,Gävle,769638-1917
